project_ending,rating,text,sentiment
Completed,,,1
Completed,,Great job!!!,1
Completed,,"Komunikasi bagus, hasil pekerjaan ok",1
Completed,,Thx. Terimakasih bantuannya,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,Pekerjaan worker sudah sesuai dengan spesifikasiCepet juga pengerjaannya. gak sampe setengah hari. Sipl ah,0
Completed,,"Sangat berkualitas pekerjaanya, telaten, dikerjakan sampe selesai pokoknya projectnya.",1
Completed,,Thank you mas. Kedepan kalo ada pertanyaan utk domain ini saya repotin boleh ya?,0
Completed,,terima kasih mas untuk hasil projectnya karena sesuai yang diminta.,1
Completed,,Auto-rated by system.,0
Completed,,"KERJANYA RAPIH, CEPAT, DAN KOMUNIKATIF.",1
Completed,,"Oke, hasil pekerjaan bagus",1
Completed,,terimakasih mas... berkah selalu.. semoga bisa kerja sama kembali,1
Completed,,"Bagus, pengerjaan cepat dan website jadi lebih ringan",1
Completed,,Mantaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,"Fast response, product tested dan lancar. Mantap",1
Completed,,respon sangat cepat. hasil memuaskan.,1
Completed,,Keren kerjanya,1
Completed,,"kerja bagus, mungkin komunikasi n ketepatan waktu harus ditingkatkan",1
Completed,,terima kasih atas kerjasamanya,1
Completed,,joos....,1
Completed,,Lebih sopan dan sabar lagi kepada klien karena perihal konsep berjalannya sistem harusnya klien lebih tahu,1
Completed,,Tak diragukan lagi deh.,1
Completed,,Utk CDN yg belom kalo kapan kapan saya tanya boleh ya,0
Self Mediation,,,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Self Mediation,,,1
Completed,,Excellent job!,1
Completed,,,1
Completed,,komunikasi lancar,1
Completed,,"great, skill tak perlu diragukan, selalu mengutamakan kualitas dan komunikasi yang baik.",1
Completed,,"Cepat, profesiaonal",1
Completed,,Berlanjut ke tahap ke dua,0
Completed,,"Hasil sesuai yang diinginkan, Skill tidak diragukan, komunikasi baik sekali....",1
Completed,,"Mantap pekerjaan cepat, komunikatif",1
Completed,,"project ke dua, nice job seperti project sbelumnya.",1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Self Mediation,,,1
Completed,,mantul..sesuai dgn request,1
Completed,,"Saya sudah dibantu dua kali, agan yg satu ini emang top",1
Completed,,Good job as my request.,1
Completed,,babang ganteng. makasih banyak,1
Completed,,Bekerjaannya cepat & profesional,1
Completed,,Cepat dan profesional......,1
Completed,,Very good communication,1
Completed,,expert dan cepat!,1
Self Mediation,,,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,,1
Completed,,direkomendasikan + komunikasi yg baikterimakasih kerjasamanya,0
Completed,,"oke bagus pengerjaannya, cepat juga. mantappp",1
Completed,,Terima Kasih atas Kerjasamanya :),1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,Thanks bro... Memuaskan,1
Completed,,Topp hasilnya,0
Self Mediation,,,1
Completed,,Ok. Mantap,1
Completed,,"Orangnya ramah, kerjanya professional, hasilnya memuaskan!",1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,"sangat profesional dan komunikatif dalam menyelesaikan masalah,",1
Completed,,Mantab Surantab!,1
Completed,,Salah satu org TOP yg saya kenal,1
Completed,,Terima kasih untuk kerjasamanya,1
Completed,,mantaappppsss jiwa gan,0
Completed,,Again. sangat puas dengan delivery service nya. Thanks.,1
Completed,,Bagus dan profesional,1
Self Mediation,,,1
Completed,,Pengerjaan sangat teliti dan sangat rapi.  Problem solving sangat bagus. dan sangat komunikatif.,1
Completed,,cepat dan profesional,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,"Makasih mas,profesional,tanggung jawab",2
Self Mediation,,,1
Completed,,kerja nya bagus dan tanggung jawab,0
Completed,,"Mantap servicenya mas Afgan, sesuai orderan",0
Completed,,"mantap si om, hasil memuaskan. recomended worker",1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,Mantappp bosss,0
Completed,,"ontime sesuai timeline, hasil pekerjaan optimal.",0
Completed,,cepat dan score web saya langsung soared! terima kasih. VERY RECOMMENDED!,1
Completed,,"bagus,, dan lanjutkan",1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,Siap. Haturnuhun,1
Completed,,"Mantap, ga cuma service nya yg cepat dan menyeluruh.. di handle aftersales nya sampai bisa",1
Completed,,Sip. Pengerjaan express.,0
Self Mediation,,,1
Completed,,Thanks banget masNanti kita proyekan lagi ya,1
Completed,,Good worker. Sangat cepatttttttt!,1
Completed,,mantappppppppppppppp,1
Completed,,"Terlepas dari beberapa alasan, hasil tidak sesuai dengan target yang disebutkan diawal setelah worker menganalisis web. Sehingga worker terkesan hanya membuat bidder tertarik tanpa melakukan analisis yang tepat.Keahlian Ok, Komunikatif dan Profesional",1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,"kerjaan manteb. tinggal timing aja, smoga next order bisa selasai lebih cepat..",1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,"Sangat cepat pengerjaan projeknya, komunikasi lancar",1
Completed,,"terima kasih mas fauzi, untuk kedua website saya yg telah di optimasi. semua terselesaikan dengan baik, karena pemahaman bahasa pemrograman mas fauzi tidak perlu diragukan lagi. sekali lagi terima kasih mas fauzi :)",1
Completed,,Tidak salah saya memilih bekerja sama dengan mas fauzi karena pelayanan sangat profesional.,0
Completed,,Auto-rated by system.,0
Completed,,Mantappp mantap mantap mantap,1
Completed,,Kerja cepat. Sesuai sasaran.,1
Completed,,no feed back. udah bagus banget.,1
Completed,,Bagis recomend worker,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,Worker sangat memahami program yang di inginkan sertalayanannya bagus,1
Completed,,Hasil kerja sesuai permintaan dan memuaskan.,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,as expected. thanks,1
Completed,,Mantap mas!,1
Completed,,,1
Completed,,terimakasih banyak telah membantu. sukses,1
Completed,,Pertahankan,1
Self Mediation,,,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,Kualitas pekerjaan OK dan dikerjakan in timely manner. Recommended developer.,1
Completed,,mantap gan,1
Completed,,"Good project, semoga bisnis dan usahanya lancar, terima kasih atas kepercayaannya, semoga dilain hari saya bisa membantu anda kembali dalam hal desain.",1
Completed,,Pak Fauzi sangat responsif dengan setiap pertanyaan/pernyataan yang diberikan .. Sangat memudahkan pengerjaan ..,1
Completed,,"Terimakasih Untuk iReload sudah bisa bekerja sama dengan baik dengan kita, semoga hasil animasinya bisa membantu iReload memasarkan Jasanya, ditunggu next project. :)",1
Self Mediation,,,1
Completed,,file lisensi nya gak ada ya mas?,0
Completed,,hasilnya memuaskan terima kasih ya...,1
Completed,,hasilnya memuaskan. terima kasih banyak,1
Completed,,hasilnya bagus. terima kasih bantuannya.,1
Completed,,"hasilnya bagus, terima kasih bantuannya",1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya ok . terima kasih,1
Completed,,hasilnya memuaskan terima kasih,1
Completed,,hasilnya bagus. terima kasih bantuannya.,1
Completed,,hasilnya memuaskan terima kasih,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,"ok bagus, terima kasih bantuannya.",1
Completed,,hasilnya bagus. terima kasih banyak bantuannya.,1
Completed,,hasilnya memuaskan terima kasih banyak,1
Completed,,hasil memuaskan. terima kasih,1
Completed,,terima kasih hasilnya memuaskan,1
Completed,,mantaf mantaf mantaf,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,"Terima kasih, hasil kerjanya lumayan cepat, meskipun dari sistem kerja di projects.co.id sedikit membingungkan untuk saya, bisa dibilang semacam bug dalam website, baik dari segi komunikasi dengan worker maupun manajemen file nya. But, overall is good, thanks a lot",0
Completed,,hasilnya bagus dan memuaskan. terima kasih,1
Completed,,Mantapp fast respon,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,hasil videonya memuaskan. terima kasih,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya sangat bagus dan memuaskan. terima kasih banyak,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya sangat memuaskan. terima kasih,1
Completed,,"hasilnya memuaskan sekali, terima kasih banyak",1
Completed,,Mantap masbro,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya memuaskan. terima kasih banyak,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,"hasilnya memuaskan, terima kasih banyak",1
Completed,,Respon Cepat,1
Completed,,"hasilnya sangat bagus, terima kasih bantuannya.",1
Completed,,"hasilnya memuaskan, terima kasih bantuannya.",1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya memuaskan terima kasih banyak.,1
Completed,,hasilnya sudah di terima dan memuaskan. terima kasih,1
Completed,,"hasil videonya mantap gan, terima kasih.",1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,hasilnya sudah dicek dan sangat memuaskan. terima kasih banyak,1
Completed,,videonya mantap.. sangat memuaskan terima kasih,1
Completed,,"Hasilnya memuaskan, terima kasih banyak",1
Completed,,Hasilnya memuaskan terima kasih,1
Completed,,Hasilnya memuaskan terima kasih,1
Completed,,hasilnya memuaskan terima kasih,1
Completed,,hasilnya memuaskan terima kasih,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,hasilnya memuaskan.Terima kasih,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Self Mediation,,,1
Completed,,Videonya mantap,1
Completed,,Mantap boss,1
Completed,,good job....,1
Completed,,Mantap. ketika butuh cepat bersedia revisi dan langsung jadi. Hasil kerja baik. Komunikasi baik. Terima kasih sekali sudah banyak dibantu.,1
Completed,,hasilnya sangat bagus. terima kasih,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,sangat bagus terima kasih,1
Completed,,Hasilnya Bagus. Terima kasih,1
Completed,,"Good Job, Responsive",1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,sangat memuaskan. terima kasih,1
Completed,,profesional sesuai harapan,1
Completed,,memuaskan terima kasih,1
Completed,,"thanks good works, but better should client known it first, at least by whatsapp when the projects done",1
Completed,,"Terima kasih, profesional job",1
Completed,,Selalu bisa diandalkan,1
Completed,,ok terima kasih mas,1
Completed,,hasilnya bagus,1
Completed,,lanjut project berikut nya,0
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,ramah dan sabar banget. terima ksh ya gan,1
Completed,,cepat dan bagus hasilnya. semoga bs kerja sama lg,1
Completed,,bagus terima kasih,1
Completed,,mantap terima kasih,1
Completed,,"Hasil kerja bagus, komunikasi lumayan lancar, manajemen waktu cukup baik",1
Completed,,"Terima Kasih Mas, Sangat profesional dan hasilnya sesuai ekspektasi.",1
Completed,,mantap hasilnya,1
Completed,,hasilnya bagus,1
Completed,,bagus terima kasih,1
Completed,,,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,bagus terima kasih,1
Completed,,Kerja cepat hasil memuaskan. Banyak ide dan komunikasi lancar. Terima kasiih,1
Completed,,cepat dan sangat profesional,1
Completed,,terima kasih,1
Completed,,hasilnya memuaskan. terima kasih,1
Completed,,"Kerja cepat, komunikasi lancar, hasil kerja memuaskan",1
Completed,,"Mbanya kerjanya mantap banget, cepet, hasilnya OK, komunikasi lancar, tepat waktu.",1
Completed,,terima kasih,1
Completed,,Hasil videonya bagus.,1
Completed,,mantap kerjaanya bagus!!,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,Plus point:,0
Completed,,terima kasih hasilnya memuaskan,1
Completed,,bagus hasilnya,1
Completed,,mantulll kakak...,1
Completed,,terima kasih hasilnya bagus,1
Self Mediation,,,1
Completed,,Auto-rated by system.,0
Completed,,pengerjaan profesional,1
Completed,,,1
Completed,,terima kasih hasilnya memuaskan,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,bagus terima kasih,1
Completed,,bagus hasil memuaskan,1
Completed,,,1
Completed,,bagus dan terima kasih banyak,1
Completed,,hasilnya memuaskan,1
Completed,,Mantap. Tetap di jaga kualitasnya!,2
Completed,,hasilnya bagus,1
Completed,,terima kasih,1
Completed,,hasilnya bagus dan memuaskan,1
Completed,,memuaskan,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,,1
Completed,,terima kasih hasilnya memuaskan,1
Completed,,"Done, thank you",1
Completed,,"bagus, sesuai dengan harapan.",1
Completed,,sangat bagus terima kasih banyak,1
Completed,,Auto-rated by system.,0
Completed,,Very good work. Thank you.,1
Completed,,hasilnya bagus. terima kasih,1
Completed,,"good job, fast response",1
Completed,,Good work. Thanks !!,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,bagus hasilnya thanks,1
Completed,,"Thank you, Very Good Job :D",1
Completed,,terima kasih bantuannya,1
Completed,,VERY GOOD WORKER !!!,1
Completed,,"Kerjasama yang baik dari worker, selalu berkomunikasi dengan baik dan hasilnya bagus sesuaiharapan",1
Completed,,,1
Completed,,thanks a lot,1
Completed,,bagus terima kasih,1
Completed,,Hasilnya bagus. terima kasih,1
Completed,,terima kasih,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,Sangat mem,1
Completed,,sangat memuaskan,1
Completed,,sangat memuaskan,1
Self Mediation,,,1
Completed,,sangat bagus,1
Completed,,Really motivated person,1
Completed,,,1
Completed,,,1
Completed,,Berkelass Banget....,1
Completed,,kerjanya rapih,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,"terima kasih, kerjanya cepat dan komunikasinya baik.",1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"Intruksi jelas, tidak berbelit dan Selalu memberikan kesan yang menyenangkan , senang bisa bekerja sama, semoga bisa kembali bekerja sama",1
Completed,,"Pekerjaan yang diberikan mudah untuk dimengerti dan fleksibel saat hasil diberikan, pengalaman yang menyenangkan bekerja sama dengan NFarhana",1
Completed,,"dah keren ini , kerjanya cepet dan bagus",1
Completed,,penjelaskan \terstruktur dan pengerjaannya rapih,1
Completed,,"Trims mas, dikerjakan cepet dan bagus",1
Completed,,"Trusted Worker, Fast Response!",1
Completed,,"Terima kasih, semoga bisa berkerja sama seterusnya",1
Completed,,"Makasih mas, cepet pengerjaannya.",1
Self Mediation,,,1
Completed,,"Good, Sesuai Server nya, Mudah di Gunakan",1
Completed,,Design Sesuai yg diharapkan.,1
Self Mediation,,,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Completed,,mantap dan cepat,1
Completed,,"Hasil project sesuai keinginan, terima kasih",1
Completed,,"Very fast, and will work again in future with seller",1
Self Mediation,,,1
Completed,,,1
Completed,,"Mantapppp proses cepat, baik lagi.. sudah bantu saya banyak,, Makasih banget pak.. Recommended!",1
Completed,,Mantab sekaliiiiiii,1
Completed,,Mantappp!!,1
Completed,,Auto-rated by system.,0
Completed,,Makasih mas,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Completed,,memang jago....one day selesai. terima kasih mas sdh di bantu ya,1
Completed,,thanks untuk pekerjaan nya.,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,Terima kasih atas bantuan dan kerjasamanya,1
Completed,,"Respon dan pengerjaan cepat, hasil pekerjaan rapih. Saya puas dengan hasilnya, terima kasih.",1
Completed,,thank you om..,2
Completed,,"pelayanan bagus, hasil bagus",1
Completed,,pekerjaan sesuai spek,1
Self Mediation,,,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Completed,,"Good job, well done",1
Completed,,Auto-rated by system.,0
Completed,,Terbaik. pengerjaan super cepat.,1
Self Mediation,,,1
Completed,,Mantap sekali,1
Completed,,"terima kasih bantuannya, kendala saya terselesaikan",1
Self Mediation,,,1
Completed,,,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,"thank you mas, sdh di bantu ya.",0
Completed,,Terima kasih untuk penyelesaian project yang sudah diminta ya gan,1
Completed,,pekerjaan di kerjakan dengan cepat dan sangat responsif. terima kasih,1
Completed,,"Mantap akhirnya selesai juga, agak lama sih tapi nggak apa yang penting udah selesai dan bisa digunakan dengan baik.",1
Self Mediation,,,1
Self Mediation,,,1
Completed,,Thanks yah....,1
Completed,,Makasih atas kerjasamanya Mas,1
Completed,,Mantap bos,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Completed,,Fast worker and good communication,1
Self Mediation,,,1
Completed,,"Responsif, kerja bagus",1
Completed,,Ok sesuai dan worker membantu,1
Completed,,terima kasih mas arkhan,1
Completed,,Nuhun kang Arkhan,1
Completed,,"Mantap, pekerjaan selesai cepat",1
Self Mediation,,,1
Completed,,"baik...tetap responsible dan ,mantap..",1
Completed,,Seselasi sesuai harapan,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Self Mediation,,,1
Completed,,Auto-rated by system.,0
Completed,,Pekerjaan diselesaikan sebelum deadline hanya dalam beberapa jam saja. Worker sangat membantu dan responsif. Terima kasih akhirnya website saya sudah bisa pindah hosting. Good Job,1
Completed,,,1
Completed,,makasih mas,1
Self Mediation,,,1
Completed,,the bessttttt,1
Completed,,Seperti biasa mantap,1
Self Mediation,,,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Completed,,good service....mantap,1
Completed,,kerjaannya oke...,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,"ok good fast respond, hasil sesuai dengan keinginan dan arahan.",1
Completed,,Worker sangat berpengalaman dan fast response.,1
Completed,,,1
Completed,,Thanks mas. Nanti kita kerjasama lagi,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,terima kasih ordernya mas,1
Self Mediation,,,1
Completed,,mantap dan bagus,1
Completed,,,1
Completed,,alhmdulilah sudah ketemu solusinya dengan diskusi.,0
